Var,Unit,Reg,Item,Macro,Year,Val
NUTR,kcal/cap/d,ANZ,RICE,SSP2,2040,78.6
NUTR,kcal/cap/d,ANZ,RICE,SSP2,2050,78.5
NUTR,kcal/cap/d,ANZ,SOYA,SSP2,2000,1.2
NUTR,kcal/cap/d,ANZ,SOYA,SSP2,2010,1.1
NUTR,kcal/cap/d,ANZ,SOYA,SSP2,2020,1.1
NUTR,kcal/cap/d,ANZ,SOYA,SSP2,2030,1.2
NUTR,kcal/cap/d,ANZ,SOYA,SSP2,2040,1.2
NUTR,kcal/cap/d,ANZ,SOYA,SSP2,2050,1.2
NUTR,kcal/cap/d,ANZ,SUNF,SSP2,2000,0.2
NUTR,kcal/cap/d,ANZ,SUNF,SSP2,2010,0.2
NUTR,kcal/cap/d,ANZ,SUNF,SSP2,2020,0.2
NUTR,kcal/cap/d,ANZ,SUNF,SSP2,2030,0.2
NUTR,kcal/cap/d,ANZ,SUNF,SSP2,2040,0.2
NUTR,kcal/cap/d,ANZ,SUNF,SSP2,2050,0.3
NUTR,kcal/cap/d,ANZ,SWPO,SSP2,2000,3.5
NUTR,kcal/cap/d,ANZ,SWPO,SSP2,2010,15.9
NUTR,kcal/cap/d,ANZ,SWPO,SSP2,2020,16.9
NUTR,kcal/cap/d,ANZ,SWPO,SSP2,2030,17.2
NUTR,kcal/cap/d,ANZ,SWPO,SSP2,2040,17.5
NUTR,kcal/cap/d,ANZ,SWPO,SSP2,2050,17.7
NUTR,kcal/cap/d,ANZ,WHEA,SSP2,2000,557.5
NUTR,kcal/cap/d,ANZ,WHEA,SSP2,2010,551.2
NUTR,kcal/cap/d,ANZ,WHEA,SSP2,2020,549.8
NUTR,kcal/cap/d,ANZ,WHEA,SSP2,2030,554.1
NUTR,kcal/cap/d,ANZ,WHEA,SSP2,2040,552.7
NUTR,kcal/cap/d,ANZ,WHEA,SSP2,2050,551.2
NUTR,kcal/cap/d,ANZ,CASS,SSP2,2000,0.2
NUTR,kcal/cap/d,ANZ,CASS,SSP2,2010,0.2
NUTR,kcal/cap/d,ANZ,CASS,SSP2,2020,0.2
NUTR,kcal/cap/d,ANZ,CASS,SSP2,2030,0.2
NUTR,kcal/cap/d,ANZ,CASS,SSP2,2040,0.2
NUTR,kcal/cap/d,ANZ,CASS,SSP2,2050,0.2
NUTR,kcal/cap/d,ANZ,PLSN,SSP2,2000,4.8
NUTR,kcal/cap/d,ANZ,PLSN,SSP2,2010,14.8
NUTR,kcal/cap/d,ANZ,PLSN,SSP2,2020,15
NUTR,kcal/cap/d,ANZ,PLSN,SSP2,2030,14.5
NUTR,kcal/cap/d,ANZ,PLSN,SSP2,2040,14.2
NUTR,kcal/cap/d,ANZ,PLSN,SSP2,2050,13.7
NUTR,kcal/cap/d,ANZ,BEAN,SSP2,2000,3.7
NUTR,kcal/cap/d,ANZ,BEAN,SSP2,2010,4.6
NUTR,kcal/cap/d,ANZ,BEAN,SSP2,2020,4.6
NUTR,kcal/cap/d,ANZ,BEAN,SSP2,2030,4.6
NUTR,kcal/cap/d,ANZ,BEAN,SSP2,2040,4.7
NUTR,kcal/cap/d,ANZ,BEAN,SSP2,2050,4.7
NUTR,kcal/cap/d,ANZ,BEER,SSP2,2000,87.8
NUTR,kcal/cap/d,ANZ,BEER,SSP2,2010,90.2
NUTR,kcal/cap/d,ANZ,BEER,SSP2,2020,95.3
NUTR,kcal/cap/d,ANZ,BEER,SSP2,2030,98.3
NUTR,kcal/cap/d,ANZ,BEER,SSP2,2040,101.7
NUTR,kcal/cap/d,ANZ,BEER,SSP2,2050,103.5
NUTR,kcal/cap/d,ANZ,COTO,SSP2,2000,44.3
NUTR,kcal/cap/d,ANZ,COTO,SSP2,2010,37.4
NUTR,kcal/cap/d,ANZ,COTO,SSP2,2020,37.7
NUTR,kcal/cap/d,ANZ,COTO,SSP2,2030,40
NUTR,kcal/cap/d,ANZ,COTO,SSP2,2040,41.8
NUTR,kcal/cap/d,ANZ,COTO,SSP2,2050,42.8
NUTR,kcal/cap/d,ANZ,GNUO,SSP2,2000,2.1
NUTR,kcal/cap/d,ANZ,GNUO,SSP2,2010,2
NUTR,kcal/cap/d,ANZ,GNUO,SSP2,2020,2
NUTR,kcal/cap/d,ANZ,GNUO,SSP2,2030,2
NUTR,kcal/cap/d,ANZ,GNUO,SSP2,2040,2
NUTR,kcal/cap/d,ANZ,GNUO,SSP2,2050,2
NUTR,kcal/cap/d,ANZ,CORO,SSP2,2000,4.7
NUTR,kcal/cap/d,ANZ,CORO,SSP2,2010,4.6
NUTR,kcal/cap/d,ANZ,CORO,SSP2,2020,4.6
NUTR,kcal/cap/d,ANZ,CORO,SSP2,2030,4.6
NUTR,kcal/cap/d,ANZ,CORO,SSP2,2040,4.6
NUTR,kcal/cap/d,ANZ,CORO,SSP2,2050,4.6
NUTR,kcal/cap/d,ANZ,PLMO,SSP2,2000,115.3
NUTR,kcal/cap/d,ANZ,PLMO,SSP2,2010,110.7
NUTR,kcal/cap/d,ANZ,PLMO,SSP2,2020,109
NUTR,kcal/cap/d,ANZ,PLMO,SSP2,2030,109.7
NUTR,kcal/cap/d,ANZ,PLMO,SSP2,2040,109.7
NUTR,kcal/cap/d,ANZ,PLMO,SSP2,2050,109.8
NUTR,kcal/cap/d,ANZ,RAPO,SSP2,2000,123.8
NUTR,kcal/cap/d,ANZ,RAPO,SSP2,2010,117.9
NUTR,kcal/cap/d,ANZ,RAPO,SSP2,2020,116.2
NUTR,kcal/cap/d,ANZ,RAPO,SSP2,2030,117
NUTR,kcal/cap/d,ANZ,RAPO,SSP2,2040,118.6
NUTR,kcal/cap/d,ANZ,RAPO,SSP2,2050,119.9
NUTR,kcal/cap/d,ANZ,SOYO,SSP2,2000,33.9
NUTR,kcal/cap/d,ANZ,SOYO,SSP2,2010,33.9
NUTR,kcal/cap/d,ANZ,SOYO,SSP2,2020,35.2
NUTR,kcal/cap/d,ANZ,SOYO,SSP2,2030,35.3
NUTR,kcal/cap/d,ANZ,SOYO,SSP2,2040,35.4
NUTR,kcal/cap/d,ANZ,SOYO,SSP2,2050,35.6
NUTR,kcal/cap/d,ANZ,SUNO,SSP2,2000,47.5
NUTR,kcal/cap/d,ANZ,SUNO,SSP2,2010,45.4
NUTR,kcal/cap/d,ANZ,SUNO,SSP2,2020,45.3
NUTR,kcal/cap/d,ANZ,SUNO,SSP2,2030,45.1
NUTR,kcal/cap/d,ANZ,SUNO,SSP2,2040,45.1
NUTR,kcal/cap/d,ANZ,SUNO,SSP2,2050,45.2
NUTR,kcal/cap/d,ANZ,SUGR_C,SSP2,2000,327.9
NUTR,kcal/cap/d,ANZ,SUGR_C,SSP2,2010,336.7
NUTR,kcal/cap/d,ANZ,SUGR_C,SSP2,2020,335.2
NUTR,kcal/cap/d,ANZ,SUGR_C,SSP2,2030,334.5
NUTR,kcal/cap/d,ANZ,SUGR_C,SSP2,2040,334.2
NUTR,kcal/cap/d,ANZ,SUGR_C,SSP2,2050,334
NUTR,kcal/cap/d,ANZ,CEREALS+,SSP2,2000,24.7
NUTR,kcal/cap/d,ANZ,CEREALS+,SSP2,2010,24.3
NUTR,kcal/cap/d,ANZ,CEREALS+,SSP2,2020,24
NUTR,kcal/cap/d,ANZ,CEREALS+,SSP2,2030,23.9
