,,,,,2000,2010,2020,2030,2040,2050
ArgentinaReg,Barl,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
ArgentinaReg,Cass,SPA0,SSP2,scenRCPref,21,16,12,11,9,7
ArgentinaReg,Corn,SPA0,SSP2,scenRCPref,470,353,271,244,201,160
ArgentinaReg,Cott,SPA0,SSP2,scenRCPref,5,4,3,3,2,2
ArgentinaReg,Gnut,SPA0,SSP2,scenRCPref,5,4,3,3,2,2
ArgentinaReg,Mill,SPA0,SSP2,scenRCPref,2,2,1,1,1,1
ArgentinaReg,Pota,SPA0,SSP2,scenRCPref,21,16,12,11,9,7
ArgentinaReg,Rape,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
ArgentinaReg,Soya,SPA0,SSP2,scenRCPref,132,45,42,40,34,27
ArgentinaReg,Srgh,SPA0,SSP2,scenRCPref,261,203,158,143,118,94
ArgentinaReg,SugC,SPA0,SSP2,scenRCPref,727,546,419,378,311,249
ArgentinaReg,Sunf,SPA0,SSP2,scenRCPref,57,44,35,32,26,21
ArgentinaReg,Whea,SPA0,SSP2,scenRCPref,10,7,6,5,5,4
AustraliaReg,Barl,SPA0,SSP2,scenRCPref,60,51,44,41,47,58
AustraliaReg,BeaD,SPA0,SSP2,scenRCPref,,2,3,3,4,6
AustraliaReg,ChkP,SPA0,SSP2,scenRCPref,,6,9,10,13,17
AustraliaReg,Corn,SPA0,SSP2,scenRCPref,40,34,29,27,31,39
AustraliaReg,Cott,SPA0,SSP2,scenRCPref,1,1,1,1,1,1
AustraliaReg,Gnut,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
AustraliaReg,Mill,SPA0,SSP2,scenRCPref,1,1,1,1,1,1
AustraliaReg,Pota,SPA0,SSP2,scenRCPref,21,18,15,14,16,20
AustraliaReg,Rape,SPA0,SSP2,scenRCPref,16,16,16,16,19,24
AustraliaReg,Soya,SPA0,SSP2,scenRCPref,39,33,29,26,30,38
AustraliaReg,Srgh,SPA0,SSP2,scenRCPref,42,36,32,29,34,42
AustraliaReg,SugC,SPA0,SSP2,scenRCPref,235,199,172,158,181,225
AustraliaReg,Sunf,SPA0,SSP2,scenRCPref,3,3,3,3,3,4
AustraliaReg,SwPo,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
AustraliaReg,Whea,SPA0,SSP2,scenRCPref,100,84,73,67,77,95
BrazilReg,Cass,SPA0,SSP2,scenRCPref,94,122,168,204,226,239
BrazilReg,Corn,SPA0,SSP2,scenRCPref,1215,1484,2029,2429,2675,2823
BrazilReg,Pota,SPA0,SSP2,scenRCPref,2,3,4,5,6,6
BrazilReg,Soya,SPA0,SSP2,scenRCPref,566,581,819,992,1097,1161
BrazilReg,SugC,SPA0,SSP2,scenRCPref,66,84,117,142,157,166
BrazilReg,SwPo,SPA0,SSP2,scenRCPref,2,2,3,4,4,4
BrazilReg,Whea,SPA0,SSP2,scenRCPref,142,156,195,225,244,255
CanadaReg,Barl,SPA0,SSP2,scenRCPref,386,453,496,540,588,629
CanadaReg,BeaD,SPA0,SSP2,scenRCPref,1,1,2,2,2,2
CanadaReg,ChkP,SPA0,SSP2,scenRCPref,3,5,8,10,12,14
