,,,,,2000,2010,2020,2030,2040,2050
ChinaReg,Cott,SPA0,SSP2,scenRCPref,63,101,170,242,308,341
ChinaReg,Gnut,SPA0,SSP2,scenRCPref,20,33,55,78,99,109
ChinaReg,Mill,SPA0,SSP2,scenRCPref,6,8,13,18,22,25
ChinaReg,Pota,SPA0,SSP2,scenRCPref,750,1165,1920,2722,3457,3824
ChinaReg,Rape,SPA0,SSP2,scenRCPref,342,548,918,1309,1665,1840
ChinaReg,Rice,SPA0,SSP2,scenRCPref,48,103,196,287,366,398
ChinaReg,Soya,SPA0,SSP2,scenRCPref,2525,3536,5517,7722,9822,10983
ChinaReg,Srgh,SPA0,SSP2,scenRCPref,11,15,23,32,40,44
ChinaReg,SugC,SPA0,SSP2,scenRCPref,556,863,1423,2018,2563,2835
ChinaReg,Sunf,SPA0,SSP2,scenRCPref,25,39,66,94,119,132
ChinaReg,SwPo,SPA0,SSP2,scenRCPref,2823,4384,7227,10245,13013,14394
ChinaReg,Whea,SPA0,SSP2,scenRCPref,1117,1354,1910,2553,3191,3562
CongoBasin,Cass,SPA0,SSP2,scenRCPref,156,174,614,1587,2805,4189
CongoBasin,Corn,SPA0,SSP2,scenRCPref,101,171,481,861,1383,1966
CongoBasin,Cott,SPA0,SSP2,scenRCPref,4,4,18,48,86,129
CongoBasin,Gnut,SPA0,SSP2,scenRCPref,18,19,88,231,413,620
CongoBasin,Pota,SPA0,SSP2,scenRCPref,9,10,37,95,167,250
CongoBasin,Soya,SPA0,SSP2,scenRCPref,8,25,96,179,292,411
CongoBasin,SugC,SPA0,SSP2,scenRCPref,137,153,539,1393,2463,3678
CongoBasin,SwPo,SPA0,SSP2,scenRCPref,2,2,8,20,35,52
EU_Baltic,Barl,SPA0,SSP2,scenRCPref,51,53,54,59,66,77
EU_Baltic,BeaD,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
EU_Baltic,Cass,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
EU_Baltic,ChkP,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
EU_Baltic,Corn,SPA0,SSP2,scenRCPref,23,,,,,14
EU_Baltic,Gnut,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
EU_Baltic,Pota,SPA0,SSP2,scenRCPref,105,106,104,105,102,101
EU_Baltic,Rape,SPA0,SSP2,scenRCPref,3,3,3,4,4,4
EU_Baltic,Rice,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
EU_Baltic,Soya,SPA0,SSP2,scenRCPref,34,,,,,
EU_Baltic,SugC,SPA0,SSP2,scenRCPref,2,2,2,2,2,2
EU_Baltic,Sunf,SPA0,SSP2,scenRCPref,3,4,4,4,4,4
EU_Baltic,Whea,SPA0,SSP2,scenRCPref,49,51,53,59,70,85
EU_CentralEast,Barl,SPA0,SSP2,scenRCPref,210,188,196,216,256,302
EU_CentralEast,Corn,SPA0,SSP2,scenRCPref,577,514,534,588,694,813
EU_CentralEast,Soya,SPA0,SSP2,scenRCPref,548,242,195,442,531,633
EU_CentralEast,Whea,SPA0,SSP2,scenRCPref,448,400,416,458,543,640
EU_MidWest,Barl,SPA0,SSP2,scenRCPref,640,584,583,566,550,542
EU_MidWest,Corn,SPA0,SSP2,scenRCPref,1640,1519,1541,1525,1502,1492
EU_MidWest,Rape,SPA0,SSP2,scenRCPref,136,123,128,129,129,130
EU_MidWest,Soya,SPA0,SSP2,scenRCPref,1788,1637,1666,1660,1642,1637
EU_MidWest,Sunf,SPA0,SSP2,scenRCPref,72,65,68,68,69,69
EU_MidWest,Whea,SPA0,SSP2,scenRCPref,1111,1013,1023,1004,983,973
EU_North,Barl,SPA0,SSP2,scenRCPref,1315,1273,1308,1353,1348,1338
EU_North,BeaD,SPA0,SSP2,scenRCPref,1,1,1,2,2,2
EU_North,Cass,SPA0,SSP2,scenRCPref,3,3,4,4,4,4
EU_North,ChkP,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
EU_North,Corn,SPA0,SSP2,scenRCPref,267,140,147,152,153,154
EU_North,Mill,SPA0,SSP2,scenRCPref,3,4,4,5,4,4
EU_North,Pota,SPA0,SSP2,scenRCPref,425,437,462,475,478,483
EU_North,Rape,SPA0,SSP2,scenRCPref,219,223,234,251,257,260
EU_North,Rice,SPA0,SSP2,scenRCPref,30,29,29,29,28,26
EU_North,Soya,SPA0,SSP2,scenRCPref,1945,1408,1680,1797,1837,1864
EU_North,Srgh,SPA0,SSP2,scenRCPref,1,1,1,1,1,1
EU_North,SugC,SPA0,SSP2,scenRCPref,623,641,677,696,701,708
EU_North,Sunf,SPA0,SSP2,scenRCPref,106,108,114,122,125,126
EU_North,SwPo,SPA0,SSP2,scenRCPref,2,2,2,2,2,2
EU_North,Whea,SPA0,SSP2,scenRCPref,1295,1286,1338,1391,1392,1389
EU_South,Barl,SPA0,SSP2,scenRCPref,828,862,892,895,908,923
EU_South,Corn,SPA0,SSP2,scenRCPref,1706,1781,1850,1855,1884,1915
EU_South,Soya,SPA0,SSP2,scenRCPref,1609,1221,1774,1781,1810,1839
EU_South,Whea,SPA0,SSP2,scenRCPref,1038,1081,1120,1125,1143,1160
Former_USSR,Barl,SPA0,SSP2,scenRCPref,600,718,795,850,895,938
Former_USSR,BeaD,SPA0,SSP2,scenRCPref,21,33,42,49,54,57
Former_USSR,Cass,SPA0,SSP2,scenRCPref,1,1,1,1,1,1
Former_USSR,ChkP,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
Former_USSR,Corn,SPA0,SSP2,scenRCPref,808,990,1096,1166,1225,1286
Former_USSR,Cott,SPA0,SSP2,scenRCPref,142,237,306,367,416,445
Former_USSR,Gnut,SPA0,SSP2,scenRCPref,0,0,0,0,1,1
Former_USSR,Pota,SPA0,SSP2,scenRCPref,933,1210,1312,1363,1405,1471
Former_USSR,Rape,SPA0,SSP2,scenRCPref,11,19,24,29,33,35
Former_USSR,Soya,SPA0,SSP2,scenRCPref,2,4,6,8,9,10
Former_USSR,SugC,SPA0,SSP2,scenRCPref,27,35,38,40,41,43
Former_USSR,Sunf,SPA0,SSP2,scenRCPref,42,70,91,109,124,132
Former_USSR,SwPo,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
Former_USSR,Whea,SPA0,SSP2,scenRCPref,1388,1653,1835,1965,2073,2173
IndiaReg,Barl,SPA0,SSP2,scenRCPref,10,12,15,18,20,22
IndiaReg,BeaD,SPA0,SSP2,scenRCPref,24,30,36,44,49,54
IndiaReg,ChkP,SPA0,SSP2,scenRCPref,76,94,115,138,154,169
IndiaReg,Corn,SPA0,SSP2,scenRCPref,1644,2231,2711,3412,3942,4336
IndiaReg,Cott,SPA0,SSP2,scenRCPref,88,136,194,258,307,355
IndiaReg,Gnut,SPA0,SSP2,scenRCPref,41,64,91,122,145,167
IndiaReg,Pota,SPA0,SSP2,scenRCPref,86,104,128,152,168,184
IndiaReg,Rape,SPA0,SSP2,scenRCPref,232,360,513,683,814,940
IndiaReg,Rice,SPA0,SSP2,scenRCPref,808,1071,1305,1623,1861,2044
IndiaReg,Soya,SPA0,SSP2,scenRCPref,503,683,830,1045,1208,1329
IndiaReg,SugC,SPA0,SSP2,scenRCPref,826,991,1224,1448,1603,1755
IndiaReg,Sunf,SPA0,SSP2,scenRCPref,26,41,59,78,93,107
IndiaReg,Whea,SPA0,SSP2,scenRCPref,1831,2459,2992,3746,4312,4741
IndonesiaReg,Cass,SPA0,SSP2,scenRCPref,13,14,17,22,30,36
IndonesiaReg,Corn,SPA0,SSP2,scenRCPref,8,12,33,49,72,89
IndonesiaReg,Cott,SPA0,SSP2,scenRCPref,,,,,,
IndonesiaReg,Gnut,SPA0,SSP2,scenRCPref,1,2,6,11,16,21
IndonesiaReg,Pota,SPA0,SSP2,scenRCPref,2,3,3,4,5,6
IndonesiaReg,Rape,SPA0,SSP2,scenRCPref,2,3,11,19,29,36
IndonesiaReg,Rice,SPA0,SSP2,scenRCPref,16,16,24,42,66,85
IndonesiaReg,Soya,SPA0,SSP2,scenRCPref,,,16,34,58,77
IndonesiaReg,SugC,SPA0,SSP2,scenRCPref,109,125,149,194,261,312
IndonesiaReg,Sunf,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
IndonesiaReg,SwPo,SPA0,SSP2,scenRCPref,1,2,2,2,3,4
IndonesiaReg,Whea,SPA0,SSP2,scenRCPref,,6,20,33,49,62
JapanReg,Barl,SPA0,SSP2,scenRCPref,11,10,13,14,14,13
JapanReg,BeaD,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
JapanReg,Corn,SPA0,SSP2,scenRCPref,565,528,669,751,743,711
JapanReg,Cott,SPA0,SSP2,scenRCPref,5,5,6,7,7,7
JapanReg,Gnut,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
JapanReg,Pota,SPA0,SSP2,scenRCPref,2,2,2,2,2,2
JapanReg,Rape,SPA0,SSP2,scenRCPref,39,38,49,56,55,52
JapanReg,Rice,SPA0,SSP2,scenRCPref,2,2,3,3,3,2
JapanReg,Soya,SPA0,SSP2,scenRCPref,202,166,204,231,229,225
JapanReg,SugC,SPA0,SSP2,scenRCPref,8,8,8,8,8,8
JapanReg,Sunf,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
JapanReg,SwPo,SPA0,SSP2,scenRCPref,1,1,1,1,1,1
JapanReg,Whea,SPA0,SSP2,scenRCPref,112,107,136,152,151,144
MalaysiaReg,Barl,SPA0,SSP2,scenRCPref,0,0,1,1,1,1
MalaysiaReg,Cass,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
MalaysiaReg,Corn,SPA0,SSP2,scenRCPref,1,1,2,2,2,3
MalaysiaReg,Gnut,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
MalaysiaReg,Mill,SPA0,SSP2,scenRCPref,1,1,1,1,2,2
MalaysiaReg,Pota,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
MalaysiaReg,Rape,SPA0,SSP2,scenRCPref,0,0,1,1,1,2
MalaysiaReg,Rice,SPA0,SSP2,scenRCPref,2,2,2,2,2,3
MalaysiaReg,Soya,SPA0,SSP2,scenRCPref,1,1,1,2,2,2
MalaysiaReg,Srgh,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
MalaysiaReg,SugC,SPA0,SSP2,scenRCPref,5,4,5,6,7,9
MalaysiaReg,Sunf,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
MalaysiaReg,SwPo,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
MalaysiaReg,Whea,SPA0,SSP2,scenRCPref,1,1,1,2,2,2
MexicoReg,Barl,SPA0,SSP2,scenRCPref,15,16,21,25,28,29
MexicoReg,Corn,SPA0,SSP2,scenRCPref,1745,1732,2352,3167,3874,4309
MexicoReg,Cott,SPA0,SSP2,scenRCPref,0,0,1,1,1,1
MexicoReg,Gnut,SPA0,SSP2,scenRCPref,0,1,1,1,1,1
MexicoReg,Mill,SPA0,SSP2,scenRCPref,0,1,1,1,1,1
MexicoReg,Rape,SPA0,SSP2,scenRCPref,58,75,118,150,170,180
MexicoReg,Soya,SPA0,SSP2,scenRCPref,799,760,1034,1497,1885,2119
MexicoReg,Srgh,SPA0,SSP2,scenRCPref,1249,1364,1951,2427,2782,2989
MexicoReg,Sunf,SPA0,SSP2,scenRCPref,2,2,4,5,5,6
MexicoReg,Whea,SPA0,SSP2,scenRCPref,174,176,246,305,360,394
MiddleEast,Barl,SPA0,SSP2,scenRCPref,3526,4129,4838,5366,5607,5723
MiddleEast,BeaD,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
MiddleEast,Cass,SPA0,SSP2,scenRCPref,3,5,6,7,8,8
MiddleEast,ChkP,SPA0,SSP2,scenRCPref,16,17,22,28,30,30
MiddleEast,Corn,SPA0,SSP2,scenRCPref,1762,2165,2603,2928,3123,3248
MiddleEast,Cott,SPA0,SSP2,scenRCPref,13,32,47,55,62,67
MiddleEast,Gnut,SPA0,SSP2,scenRCPref,1,1,2,2,3,3
MiddleEast,Mill,SPA0,SSP2,scenRCPref,3,3,3,4,5,5
MiddleEast,Pota,SPA0,SSP2,scenRCPref,56,100,133,149,165,174
MiddleEast,Rape,SPA0,SSP2,scenRCPref,5,13,19,22,25,27
MiddleEast,Rice,SPA0,SSP2,scenRCPref,68,72,94,119,124,127
MiddleEast,Soya,SPA0,SSP2,scenRCPref,556,783,997,1150,1274,1362
MiddleEast,Srgh,SPA0,SSP2,scenRCPref,40,41,53,69,71,73
MiddleEast,SugC,SPA0,SSP2,scenRCPref,181,325,432,483,535,567
MiddleEast,Sunf,SPA0,SSP2,scenRCPref,22,55,81,94,107,116
MiddleEast,Whea,SPA0,SSP2,scenRCPref,979,1229,1467,1620,1722,1782
NewZealandReg,Barl,SPA0,SSP2,scenRCPref,152,189,273,338,403,431
NewZealandReg,Corn,SPA0,SSP2,scenRCPref,67,95,152,188,219,232
NewZealandReg,Rape,SPA0,SSP2,scenRCPref,2,17,39,49,56,58
NewZealandReg,Soya,SPA0,SSP2,scenRCPref,12,11,,,,
NewZealandReg,Whea,SPA0,SSP2,scenRCPref,84,113,172,210,245,258
NorthernAf,Barl,SPA0,SSP2,scenRCPref,861,969,1073,1152,1200,1208
NorthernAf,BeaD,SPA0,SSP2,scenRCPref,0,2,4,5,5,5
NorthernAf,Cass,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
NorthernAf,ChkP,SPA0,SSP2,scenRCPref,1,5,7,9,9,10
NorthernAf,Corn,SPA0,SSP2,scenRCPref,2982,3458,3867,4137,4294,4348
NorthernAf,Cott,SPA0,SSP2,scenRCPref,7,10,13,16,18,18
NorthernAf,Gnut,SPA0,SSP2,scenRCPref,2,2,3,4,4,4
NorthernAf,Mill,SPA0,SSP2,scenRCPref,2,3,3,4,5,5
NorthernAf,Pota,SPA0,SSP2,scenRCPref,125,131,143,158,168,167
NorthernAf,Rape,SPA0,SSP2,scenRCPref,5,7,9,11,12,12
NorthernAf,Rice,SPA0,SSP2,scenRCPref,22,27,29,29,29,29
NorthernAf,Soya,SPA0,SSP2,scenRCPref,746,840,931,1000,1041,1048
NorthernAf,Srgh,SPA0,SSP2,scenRCPref,141,174,216,261,289,295
NorthernAf,SugC,SPA0,SSP2,scenRCPref,651,683,745,824,873,870
NorthernAf,Sunf,SPA0,SSP2,scenRCPref,31,43,55,66,73,74
NorthernAf,Whea,SPA0,SSP2,scenRCPref,836,933,1031,1112,1160,1167
Pacific_Islands,Barl,SPA0,SSP2,scenRCPref,0,,,,,
Pacific_Islands,Cass,SPA0,SSP2,scenRCPref,0,,,0,0,0
Pacific_Islands,Corn,SPA0,SSP2,scenRCPref,0,,0,0,1,1
Pacific_Islands,Pota,SPA0,SSP2,scenRCPref,0,,,0,0,0
Pacific_Islands,Soya,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
Pacific_Islands,SugC,SPA0,SSP2,scenRCPref,0,,,0,0,0
RCAM,Cass,SPA0,SSP2,scenRCPref,2,2,4,5,5,6
RCAM,Corn,SPA0,SSP2,scenRCPref,101,128,239,323,368,410
RCAM,Pota,SPA0,SSP2,scenRCPref,1,1,1,1,1,2
RCAM,Soya,SPA0,SSP2,scenRCPref,55,68,121,159,180,199
RCAM,SugC,SPA0,SSP2,scenRCPref,52,62,107,137,153,166
RCAM,SwPo,SPA0,SSP2,scenRCPref,0,0,1,1,1,1
RCAM,Whea,SPA0,SSP2,scenRCPref,8,11,20,27,30,33
RCEU,Barl,SPA0,SSP2,scenRCPref,33,41,48,50,50,49
RCEU,Corn,SPA0,SSP2,scenRCPref,37,139,201,217,213,210
RCEU,Cott,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
RCEU,Rape,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
RCEU,Soya,SPA0,SSP2,scenRCPref,73,80,87,89,89,91
RCEU,Sunf,SPA0,SSP2,scenRCPref,17,19,21,21,21,21
RCEU,Whea,SPA0,SSP2,scenRCPref,32,62,87,93,90,87
ROWE,Barl,SPA0,SSP2,scenRCPref,43,46,65,69,89,110
ROWE,Corn,SPA0,SSP2,scenRCPref,56,61,95,105,138,174
ROWE,Soya,SPA0,SSP2,scenRCPref,85,88,127,136,178,223
ROWE,Whea,SPA0,SSP2,scenRCPref,47,49,71,76,98,124
RSAM,Cass,SPA0,SSP2,scenRCPref,118,190,261,453,643,777
RSAM,Corn,SPA0,SSP2,scenRCPref,911,1219,1644,2889,4120,5016
RSAM,Pota,SPA0,SSP2,scenRCPref,65,105,144,249,354,428
RSAM,Soya,SPA0,SSP2,scenRCPref,298,485,696,1263,1823,2232
RSAM,SugC,SPA0,SSP2,scenRCPref,174,282,387,672,953,1152
RSAM,SwPo,SPA0,SSP2,scenRCPref,2,3,4,7,9,11
RSAM,Whea,SPA0,SSP2,scenRCPref,97,94,118,213,304,370
RSAS,Barl,SPA0,SSP2,scenRCPref,8,9,9,10,11,12
RSAS,BeaD,SPA0,SSP2,scenRCPref,2,2,2,2,2,3
RSAS,Cass,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
RSAS,ChkP,SPA0,SSP2,scenRCPref,25,26,27,30,34,38
RSAS,Corn,SPA0,SSP2,scenRCPref,296,314,322,366,407,461
RSAS,Cott,SPA0,SSP2,scenRCPref,100,124,141,168,192,213
RSAS,Gnut,SPA0,SSP2,scenRCPref,2,2,3,3,3,4
RSAS,Mill,SPA0,SSP2,scenRCPref,13,14,15,16,18,21
RSAS,Pota,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
RSAS,Rape,SPA0,SSP2,scenRCPref,71,88,100,119,136,151
RSAS,Rice,SPA0,SSP2,scenRCPref,74,78,79,90,99,112
RSAS,Soya,SPA0,SSP2,scenRCPref,115,122,123,139,154,175
RSAS,Srgh,SPA0,SSP2,scenRCPref,2,2,2,3,3,3
RSAS,SugC,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
RSAS,Sunf,SPA0,SSP2,scenRCPref,6,7,9,10,12,13
RSAS,SwPo,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
RSAS,Whea,SPA0,SSP2,scenRCPref,570,608,624,702,772,862
RSEA_OPA,Corn,SPA0,SSP2,scenRCPref,923,849,1705,2757,3894,5080
RSEA_OPA,Rice,SPA0,SSP2,scenRCPref,257,249,525,870,1243,1634
RSEA_OPA,Soya,SPA0,SSP2,scenRCPref,340,314,632,1023,1446,1887
RSEA_OPA,Whea,SPA0,SSP2,scenRCPref,145,133,265,428,603,786
RSEA_PAC,Cass,SPA0,SSP2,scenRCPref,56,82,106,120,133,145
RSEA_PAC,Corn,SPA0,SSP2,scenRCPref,215,351,442,494,548,595
RSEA_PAC,Cott,SPA0,SSP2,scenRCPref,0,1,2,2,3,3
RSEA_PAC,Gnut,SPA0,SSP2,scenRCPref,1,10,17,21,24,27
RSEA_PAC,Pota,SPA0,SSP2,scenRCPref,15,22,28,32,35,38
RSEA_PAC,Rape,SPA0,SSP2,scenRCPref,0,1,1,1,2,2
RSEA_PAC,Soya,SPA0,SSP2,scenRCPref,,92,127,147,167,184
RSEA_PAC,SugC,SPA0,SSP2,scenRCPref,89,131,168,190,211,230
RSEA_PAC,SwPo,SPA0,SSP2,scenRCPref,37,54,70,79,88,96
RSEA_PAC,Whea,SPA0,SSP2,scenRCPref,61,62,66,69,73,76
RussiaReg,Barl,SPA0,SSP2,scenRCPref,1344,1432,1484,1548,1606,1648
RussiaReg,BeaD,SPA0,SSP2,scenRCPref,3,55,120,171,197,215
RussiaReg,Cass,SPA0,SSP2,scenRCPref,0,0,0,0,0,1
RussiaReg,Corn,SPA0,SSP2,scenRCPref,365,390,414,435,459,477
RussiaReg,Cott,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
RussiaReg,Mill,SPA0,SSP2,scenRCPref,142,158,180,197,214,227
RussiaReg,Pota,SPA0,SSP2,scenRCPref,3047,3256,3453,3626,3820,3969
RussiaReg,Rape,SPA0,SSP2,scenRCPref,14,15,16,17,18,19
RussiaReg,Soya,SPA0,SSP2,scenRCPref,186,201,220,234,252,265
RussiaReg,Srgh,SPA0,SSP2,scenRCPref,11,13,15,16,17,18
RussiaReg,SugC,SPA0,SSP2,scenRCPref,167,179,190,199,210,218
RussiaReg,Sunf,SPA0,SSP2,scenRCPref,291,311,331,348,367,382
RussiaReg,Whea,SPA0,SSP2,scenRCPref,1547,1646,1703,1776,1840,1886
SouthAfrReg,Barl,SPA0,SSP2,scenRCPref,8,9,9,9,9,10
SouthAfrReg,BeaD,SPA0,SSP2,scenRCPref,3,4,5,6,6,6
SouthAfrReg,Corn,SPA0,SSP2,scenRCPref,930,1051,1088,1121,1145,1168
SouthAfrReg,Cott,SPA0,SSP2,scenRCPref,1,1,1,1,1,1
SouthAfrReg,Gnut,SPA0,SSP2,scenRCPref,2,3,3,3,3,3
SouthAfrReg,Mill,SPA0,SSP2,scenRCPref,1,1,1,1,1,1
SouthAfrReg,Pota,SPA0,SSP2,scenRCPref,83,89,90,91,92,93
SouthAfrReg,Rape,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
SouthAfrReg,Soya,SPA0,SSP2,scenRCPref,127,155,144,68,99,118
SouthAfrReg,Srgh,SPA0,SSP2,scenRCPref,32,34,35,35,35,36
SouthAfrReg,SugC,SPA0,SSP2,scenRCPref,601,648,654,661,666,673
SouthAfrReg,Sunf,SPA0,SSP2,scenRCPref,121,152,169,183,189,194
SouthAfrReg,SwPo,SPA0,SSP2,scenRCPref,6,7,7,7,7,7
SouthAfrReg,Whea,SPA0,SSP2,scenRCPref,4,7,10,12,14,15
SouthKorea,Barl,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
SouthKorea,Cass,SPA0,SSP2,scenRCPref,6,9,16,26,34,40
SouthKorea,Corn,SPA0,SSP2,scenRCPref,273,451,625,754,815,832
SouthKorea,Gnut,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
SouthKorea,Pota,SPA0,SSP2,scenRCPref,1,2,3,5,7,8
SouthKorea,Rape,SPA0,SSP2,scenRCPref,6,12,27,41,49,51
SouthKorea,Soya,SPA0,SSP2,scenRCPref,92,155,219,268,290,290
SouthKorea,SugC,SPA0,SSP2,scenRCPref,31,46,82,138,178,210
SouthKorea,Sunf,SPA0,SSP2,scenRCPref,0,1,2,3,4,4
SouthKorea,SwPo,SPA0,SSP2,scenRCPref,1,1,3,4,5,6
SouthKorea,Whea,SPA0,SSP2,scenRCPref,47,80,113,140,152,157
EasternAf,Cass,SPA0,SSP2,scenRCPref,169,248,338,409,457,498
EasternAf,Corn,SPA0,SSP2,scenRCPref,196,192,196,202,207,214
EasternAf,Cott,SPA0,SSP2,scenRCPref,3,7,11,14,16,18
EasternAf,Gnut,SPA0,SSP2,scenRCPref,4,10,16,20,23,25
EasternAf,Pota,SPA0,SSP2,scenRCPref,46,68,92,112,125,136
EasternAf,Rape,SPA0,SSP2,scenRCPref,2,5,8,10,12,13
EasternAf,Soya,SPA0,SSP2,scenRCPref,1,5,8,9,11,12
EasternAf,SugC,SPA0,SSP2,scenRCPref,219,322,438,530,592,645
EasternAf,Sunf,SPA0,SSP2,scenRCPref,1,3,5,6,7,7
SouthernAf,Cass,SPA0,SSP2,scenRCPref,196,541,1108,1683,2305,2788
SouthernAf,Corn,SPA0,SSP2,scenRCPref,348,421,713,1058,1412,1688
SouthernAf,Cott,SPA0,SSP2,scenRCPref,3,8,16,25,34,42
SouthernAf,Gnut,SPA0,SSP2,scenRCPref,9,25,51,79,108,131
SouthernAf,Pota,SPA0,SSP2,scenRCPref,37,101,206,313,429,519
SouthernAf,Soya,SPA0,SSP2,scenRCPref,19,,,,,
SouthernAf,SugC,SPA0,SSP2,scenRCPref,78,214,439,666,913,1104
