,,,,,2000,2010,2020,2030,2040,2050
ArgentinaReg,Barl,SPA0,SSP2,scenRCPref,8,9,10,11,15,15
ArgentinaReg,Cass,SPA0,SSP2,scenRCPref,15,16,19,22,25,28
ArgentinaReg,Corn,SPA0,SSP2,scenRCPref,218,232,288,325,373,414
ArgentinaReg,Cott,SPA0,SSP2,scenRCPref,4,4,5,6,7,8
ArgentinaReg,Gnut,SPA0,SSP2,scenRCPref,4,4,5,6,7,7
ArgentinaReg,Mill,SPA0,SSP2,scenRCPref,1,1,1,2,2,2
ArgentinaReg,Pota,SPA0,SSP2,scenRCPref,15,16,19,22,25,28
ArgentinaReg,Rape,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
ArgentinaReg,Soya,SPA0,SSP2,scenRCPref,80,38,59,70,83,92
ArgentinaReg,Srgh,SPA0,SSP2,scenRCPref,119,131,165,186,214,238
ArgentinaReg,SugC,SPA0,SSP2,scenRCPref,511,546,680,767,885,984
ArgentinaReg,Sunf,SPA0,SSP2,scenRCPref,43,48,62,70,82,91
ArgentinaReg,Whea,SPA0,SSP2,scenRCPref,251,270,338,382,445,494
AustraliaReg,Barl,SPA0,SSP2,scenRCPref,1002,914,910,928,940,953
AustraliaReg,BeaD,SPA0,SSP2,scenRCPref,,25,45,55,63,67
AustraliaReg,ChkP,SPA0,SSP2,scenRCPref,,74,133,161,183,195
AustraliaReg,Corn,SPA0,SSP2,scenRCPref,1,1,1,1,1,1
AustraliaReg,Cott,SPA0,SSP2,scenRCPref,3,3,4,4,4,4
AustraliaReg,Gnut,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
AustraliaReg,Mill,SPA0,SSP2,scenRCPref,13,12,12,13,13,13
AustraliaReg,Pota,SPA0,SSP2,scenRCPref,22,20,20,20,21,21
AustraliaReg,Rape,SPA0,SSP2,scenRCPref,55,60,69,74,78,81
AustraliaReg,Soya,SPA0,SSP2,scenRCPref,1,1,1,1,1,1
AustraliaReg,Srgh,SPA0,SSP2,scenRCPref,598,556,561,576,586,596
AustraliaReg,SugC,SPA0,SSP2,scenRCPref,246,224,223,227,230,234
AustraliaReg,Sunf,SPA0,SSP2,scenRCPref,10,11,13,14,15,15
AustraliaReg,SwPo,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
AustraliaReg,Whea,SPA0,SSP2,scenRCPref,1683,1535,1528,1559,1578,1600
BrazilReg,Cass,SPA0,SSP2,scenRCPref,30,36,57,73,82,89
BrazilReg,Corn,SPA0,SSP2,scenRCPref,759,839,1829,2552,2864,3101
BrazilReg,Pota,SPA0,SSP2,scenRCPref,1,1,1,2,2,2
BrazilReg,Soya,SPA0,SSP2,scenRCPref,355,330,743,1050,1183,1284
BrazilReg,SugC,SPA0,SSP2,scenRCPref,21,25,40,51,57,62
BrazilReg,SwPo,SPA0,SSP2,scenRCPref,1,1,1,1,1,2
BrazilReg,Whea,SPA0,SSP2,scenRCPref,98,97,198,268,296,318
CanadaReg,Barl,SPA0,SSP2,scenRCPref,811,815,837,882,920,956
CanadaReg,BeaD,SPA0,SSP2,scenRCPref,1,2,3,3,3,4
CanadaReg,ChkP,SPA0,SSP2,scenRCPref,6,9,14,17,19,21
CanadaReg,Corn,SPA0,SSP2,scenRCPref,2026,2073,2190,2381,2544,2683
CanadaReg,Rape,SPA0,SSP2,scenRCPref,198,205,218,236,252,265
CanadaReg,Soya,SPA0,SSP2,scenRCPref,730,747,790,859,918,968
CanadaReg,Sunf,SPA0,SSP2,scenRCPref,10,11,11,12,13,14
CanadaReg,Whea,SPA0,SSP2,scenRCPref,1180,1193,1237,1319,1390,1453
ChinaReg,Barl,SPA0,SSP2,scenRCPref,7,8,11,15,18,21
ChinaReg,BeaD,SPA0,SSP2,scenRCPref,4,10,19,28,35,38
ChinaReg,Cass,SPA0,SSP2,scenRCPref,163,254,418,593,753,833
ChinaReg,ChkP,SPA0,SSP2,scenRCPref,0,0,0,0,0,0
ChinaReg,Corn,SPA0,SSP2,scenRCPref,6241,9286,14904,20992,26666,29640
