Taxa,Use,Country,White and Wilson 2015,https://www.sciencedirect.com/science/article/pii/B9780124186972000027
Gelidiella acerosa,"A, F","India, Philippines, Vietnam",,
Gelidiella spp.,F,Bangladesh,,
Gelidium abbotiorum,A,South Africa,,
Gelidium amansii,"A, F","China, Japan, Korea",,
Gelidium canariense,A,Morocco,,
Gelidium chilense,A,Chile,,
Gelidium corneum,A,Morocco,,
Gelidium crinale,A,Morocco,,
Gelidium japonicum,A,Japan,,
Gelidium latifolium,A,"Morocco, Spain",,
Gelidium lingulatum,A,Chile,,
Gelidium madagascariense,A,Madagascar,,
Gelidium microdon,A,Morocco,,
Gelidium pacificum,A,Japan,,
Gelidium pristoides,A,South Africa,,
Gelidium pteridifolium,A,South Africa,,
Gelidium pulchellum,A,Morocco,,
Gelidium pusillum,A,Morocco,,
Gelidium rex,A,Chile,,
Gelidium robustum,A,Mexico,,
Gelidium serrulatum,F,Caribbean,,
Gelidium sesquipedale,A,"France, Portugal, Spain",,
Gelidium sp.,"F, A","Bangladesh, Indonesia",,
Gelidium spinosum,A,Morocco,,
Gelidium spp.,"A, M, Ag","Malaysia, Philippines, Portugal, Taiwan",,
Gelidium subcostatum,A,Japan,,
Gelidium vagum,A,Canada,,
Ghondria crassicaulis,F,Korea,,
Gigartina acicularis,C,Morocco,,
Gigartina intermedia,C,Vietnam,,
Gigartina pistillata,C,Morocco,,
Gigartina skottsbergii,C,Chile,,
Gigartina teedii,C,Morocco,,
Gloiopeltis complanata,C,Japan,,
Gloiopeltis furcata,"C, F","Japan, Korea",,
Gloiopeltis spp.,F,Vietnam,,
Gloiopeltis tenax,"C, F","Japan, Korea",,
Gracilaria asiatica,"A, F",Vietnam,,
Gracilaria bursa-pastoris,F,Japan,,
Gracilaria caudata,A,Brazil,,
Gracilaria changii,A,Malaysia,,
Gracilaria chilensis,"A, Ag","Chile, New Zealand",,
Gracilaria conferta,A,Morocco,,
Gracilaria cornea,A,Brazil,,
Gracilaria coronopifolia,F,"United States of America, Vietnam",,
Gracilaria domingensis,F,Caribbean,,
Gracilaria dura,A,Morocco,,
Gracilaria edulis,A,India,,
Gracilaria errucosa,A,Indonesia,,
Gracilaria eucheumoides,F,Vietnam,,
Gracilaria firma,"A, F","Philippines, Vietnam",,
Gracilaria gigas,A,Indonesia,,
Gracilaria gracilis,A,"Morocco, Namibia, South Africa",,
Gracilaria heteroclada,"A, F","Philippines, Vietnam",,
Gracilaria lemaneiformis,F,Japan,,
Gracilaria longa,"A, P",Italy,,
Gracilaria pacifica,A,Canada,,
Gracilaria parvispora,F,United States of America,,
Gracilaria salicornia,F,Vietnam,,
Gracilaria sp.,"F, A","Bangladesh, Philippines",,
Gracilaria spp.,"F, M, Ag","Philippines, Portugal, Vietnam",,
Gracilaria tenuistipitata,"A, F","Philippines, Vietnam",,
Gracilaria tenuistipitata var. liui,A,China,,
Gracilaria vermiculata,A,Morocco,,
Gracilaria vermiculophylla,A,China,,
Gracilaria verrucosa,"A, P, F","China, Italy, Japan, Korea",,
Gracilariopsis andersonii,A,Canada,,
Gracilariopsis howei,A,Peru,,
Gracilariopsis lemaneiformis,A,"Mexico, Morocco, Peru",,
Gracilariopsis longuissima,A,Morocco,,
Gracilariopsis tenuifrons,A,Brazil,,
Gracilaria spp.,F,Caribbean,,
Grateloupia filicina,F,"Japan, Philippines",,
Grateloupia turuturu,F,Korea,,
Gymnogongrus furcellatus,C,Peru,,
Halymenia durvillei,F,Philippines,,
Halymenia spp.,F,Bangladesh,,
Hydropuntia cornea,F,Caribbean,,
Hydropuntia crassissima,F,Caribbean,,
Hypnea musciformis,C,"Brazil, Italy, Senegal",,
Hypnea muscoides,F,Vietnam,,
Hypnea pannosa,F,Philippines,,
Hypnea spp.,"F, C","Bangladesh, China, Indonesia, Myanmar, Vietnam",,
Hypnea valentiae,F,Vietnam,,
Kappaphycus alvarezii,"C, A, F, M","Brazil, Caribbean, China, India, Indonesia, Kiribati, Madagascar, Malaysia, Myanmar, Philippines, Solomon Islands, Tanzania, Timor-Leste, Vietnam, Zanzibar",,
Kappaphycus procrusteanum,C,Philippines,,
Kappaphycus striatum,C,Philippines,,
Laurencia cartilaginea,F,Philippines,,
Laurencia papillosa,F,Philippines,,
Laurencia spp.,M,Philippines,,
Lithothamnion coralloides,Ag,Ireland,,
Mastocarpus papillatus,C,Chile,,
Mastocarpus stellatus,"F, C","Ireland, Portugal, Spain",,
Mazzaella laminarioides,C,Chile,,
Mazzaella membranacea,C,Chile,,
Mazzaella splendens,"A, F",Canada,,
Meristotheca papulosa,F,Japan,,
Meristotheca procumbens,F,Fiji,,
Meristotheca senegalensis,F,Senegal,,
Nemalion vermiculare,F,Korea,,
Osmundea pinnatifida,F,Portugal,,
Palmaria hecatensis,F,Canada,,
Palmaria mollis,F,Canada,,
Palmaria palmata,F,"Canada, France, Ireland, United States of America",,
Palmaria spp.,Ag,Portugal,,
Phymatolithon calcareum,Ag,Ireland,,
Porphyra abbottae,F,Canada,,
Porphyra acanthophora,F,Brazil,,
Porphyra columbina,F,"Chile, Peru",,
Porphyra conwayae,F,Canada,,
Porphyra crispate,F,Vietnam,,
Porphyra fallax,F,Canada,,
Porphyra haitanensis,F,China,,
Porphyra kuniedae,F,Korea,,
Porphyra leucostica,F,Portugal,,
Porphyra nereocystis,F,Canada,,
Porphyra pseudolanceolata,F,Canada,,
Porphyra seriata,F,Korea,,
Porphyra sp.,F,"France, Philippines",,
Porphyra spiralis,F,Brazil,,
Porphyra spp.,"F, M","Israel, New Zealand, Philippines",,
Porphyra suborbiculata,F,"Korea, Vietnam",,
Porphyra tenera,F,"Japan, Korea, Taiwan",,
Porphyra torta,F,Canada,,
Porphyra umbilicalis,F,United States of America,,
Porphyra yezoensis,F,"China, Japan, Korea, United States of America",,
Prionitis decipiens,C,Peru,,
Pterocladia capillacea,"F, A","Korea, New Zealand, Portugal",,
Pterocladia lucia,A,New Zealand,,
Pterocladiella caerulescens,A,Morocco,,
Pterocladiella capillacea,A,"Brazil, Morocco",,
Rhodoglossum denticulatum,C,Peru,,
Sarcothalia crispata,C,Chile,,
Scinaia hormoides,F,Philippines,,
Solieria filiformis,C,Italy,,
