Var,Unit,Reg,Item,Macro,Year,Val
CONS,1000 t,BRA,BARL,SSP2,2000,860.154
FEED,1000 t,BRA,BARL,SSP2,2000,198.917
FOOD,1000 t,BRA,BARL,SSP2,2000,661.237
PROD,1000 t,BRA,BARL,SSP2,2000,287.583
OTHU,1000 t,BRA,BARL,SSP2,2000,0
CONS,1000 t dm,BRA,BARL,SSP2,2000,765.537
FEED,1000 t dm,BRA,BARL,SSP2,2000,177.036
FOOD,1000 t dm,BRA,BARL,SSP2,2000,588.501
PROD,1000 t dm,BRA,BARL,SSP2,2000,255.949
OTHU,1000 t dm,BRA,BARL,SSP2,2000,0
CONS,1000 t,CAN,BARL,SSP2,2000,9654.108
FEED,1000 t,CAN,BARL,SSP2,2000,9134.437
FOOD,1000 t,CAN,BARL,SSP2,2000,345.52
PROD,1000 t,CAN,BARL,SSP2,2000,11466.836
OTHU,1000 t,CAN,BARL,SSP2,2000,174.151
CONS,1000 t dm,CAN,BARL,SSP2,2000,8592.156
FEED,1000 t dm,CAN,BARL,SSP2,2000,8129.649
FOOD,1000 t dm,CAN,BARL,SSP2,2000,307.513
PROD,1000 t dm,CAN,BARL,SSP2,2000,10205.484
OTHU,1000 t dm,CAN,BARL,SSP2,2000,154.994
CONS,1000 t,CHN,BARL,SSP2,2000,4742.089
FEED,1000 t,CHN,BARL,SSP2,2000,1087.399
FOOD,1000 t,CHN,BARL,SSP2,2000,3302.11
PROD,1000 t,CHN,BARL,SSP2,2000,3132.855
OTHU,1000 t,CHN,BARL,SSP2,2000,352.58
CONS,1000 t dm,CHN,BARL,SSP2,2000,4220.459
FEED,1000 t dm,CHN,BARL,SSP2,2000,967.785
FOOD,1000 t dm,CHN,BARL,SSP2,2000,2938.878
PROD,1000 t dm,CHN,BARL,SSP2,2000,2788.241
OTHU,1000 t dm,CHN,BARL,SSP2,2000,313.796
CONS,1000 t,IND,BARL,SSP2,2000,1372.285
FEED,1000 t,IND,BARL,SSP2,2000,316.958
FOOD,1000 t,IND,BARL,SSP2,2000,1016.86
PROD,1000 t,IND,BARL,SSP2,2000,1511.793
OTHU,1000 t,IND,BARL,SSP2,2000,38.467
CONS,1000 t dm,IND,BARL,SSP2,2000,1221.333
FEED,1000 t dm,IND,BARL,SSP2,2000,282.092
FOOD,1000 t dm,IND,BARL,SSP2,2000,905.005
PROD,1000 t dm,IND,BARL,SSP2,2000,1345.496
OTHU,1000 t dm,IND,BARL,SSP2,2000,34.236
CONS,1000 t,WLD,BARL,SSP2,2000,135517.317
FEED,1000 t,WLD,BARL,SSP2,2000,106109.493
FOOD,1000 t,WLD,BARL,SSP2,2000,21081.942
PROD,1000 t,WLD,BARL,SSP2,2000,135517.317
OTHU,1000 t,WLD,BARL,SSP2,2000,8325.882
CONS,1000 t dm,WLD,BARL,SSP2,2000,120610.412
FEED,1000 t dm,WLD,BARL,SSP2,2000,94437.449
FOOD,1000 t dm,WLD,BARL,SSP2,2000,18762.928
PROD,1000 t dm,WLD,BARL,SSP2,2000,120610.412
OTHU,1000 t dm,WLD,BARL,SSP2,2000,7410.035
CONS,1000 t,OSA,BARL,SSP2,2000,2129.715
FEED,1000 t,OSA,BARL,SSP2,2000,533.058
FOOD,1000 t,OSA,BARL,SSP2,2000,1419.461
